CLASS,ITEM NUMBER,,,DESCRIPTION,UNIT OF MEASURE,COST
TAG,10651,Avery Dennison Mark III™ Tagging Gun,Shipping Supplies,Avery Dennison Mark III™ Tagging Gun,Each,14.50
TAG,TI2S,Tach-It Premium Tagging Gun,Shipping Supplies,Tach-It Premium Tagging Gun,Each,21.90
