CLASS,ITEM NUMBER,,,DESCRIPTION,SIZE (Inches),SHEETS,UNIT OF MEASURE,COST
PA,CP9511-2400,Computer Paper,Shipping Supplies,Computer Paper,"9.5 x 11"""," 2,400 ",Case,38.14
PA,CP8511-5000,Copy Paper,Shipping Supplies,Copy Paper,"8.5 x 11"""," 5,000 ",Case,42.07
