ITEM CLASS,ITEM NUMBER,Display Title,Category,LENGTH,WIDTH,DEPTH,DESCRIPTION,PRINT,COLOR,STRENGTH,FLUTE,STYLE,LENGTH,WIDTH,DEPTH,WEIGHT/PALLET,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,10606031,Corrugated Box,Corrugated Boxes,6,6,3,Corrugated Box 6 X 6 X 3  ,Plain,Kraft,200#,C,RSC,,,,,210,25,2500,Each,0.268
CB,10606041,Corrugated Box,Corrugated Boxes,6,6,4,Corrugated Box 6 X 6 X 4  ,Plain,Kraft,200#,C,RSC,,,,,231,25,2000,Each,0.168
CB,10606051,Corrugated Box,Corrugated Boxes,6,6,5,Corrugated Box 6 X 6 X 5  ,Plain,Kraft,200#,C,RSC,,,,,252,25,1500,Each,0.307
CB,10606061,Corrugated Box,Corrugated Boxes,6,6,6,Corrugated Box 6 X 6 X 6  ,Plain,Kraft,200#,C,RSC,,,,,273,25,1500,Each,0.187
CB,10606101,Corrugated Box,Corrugated Boxes,6,6,10,Corrugated Box 6 X 6 X 10  ,Plain,Kraft,200#,C,RSC,,,,,333,25,1000,Each,0.476
CB,10606361,Corrugated Box,Corrugated Boxes,6,6,36,Corrugated Box 6 X 6 X 36  ,Plain,Kraft,200#,C,RSC,,,,,903,25,600,Each,1.2
CB,10606401,Corrugated Box,Corrugated Boxes,6,6,40,Corrugated Box 6 X 6 X 40  ,Plain,Kraft,200#,C,RSC,,,,,987,25,500,Each,1.432
CB,10606481,Corrugated Box,Corrugated Boxes,6,6,48,Corrugated Box 6 X 6 X 48  ,Plain,Kraft,200#,C,RSC,,,,,1155,25,500,Each,1.295
CB,10705031,Corrugated Box,Corrugated Boxes,7,5,3,Corrugated Box 7 X 5 X 3  ,Plain,Kraft,200#,C,RSC,,,,,189,25,2500,Each,0.231
CB,10705051,Corrugated Box,Corrugated Boxes,7,5,5,Corrugated Box 7 X 5 X 5  ,Plain,Kraft,200#,C,RSC,,,,,231,25,2500,Each,0.249
CB,10706041,Corrugated Box,Corrugated Boxes,7,6,4,Corrugated Box 7 X 6 X 4  ,Plain,Kraft,200#,C,RSC,,,,,249,25,1500,Each,0.315
CB,10706061,Corrugated Box,Corrugated Boxes,7,6,6,Corrugated Box 7 X 6 X 6  ,Plain,Kraft,200#,C,RSC,,,,,294,25,1500,Each,0.345
CB,10707031,Corrugated Box,Corrugated Boxes,7,7,3,Corrugated Box 7 X 7 X 3  ,Plain,Kraft,200#,C,RSC,,,,,268,25,1000,Each,0.278
CB,10707041,Corrugated Box,Corrugated Boxes,7,7,4,Corrugated Box 7 X 7 X 4  ,Plain,Kraft,200#,C,RSC,,,,,292,25,1500,Each,0.26
CB,10707051,Corrugated Box,Corrugated Boxes,7,7,5,Corrugated Box 7 X 7 X 5  ,Plain,Kraft,200#,C,RSC,,,,,316,25,1500,Each,0.322
CB,10707061,Corrugated Box,Corrugated Boxes,7,7,6,Corrugated Box 7 X 7 X 6  ,Plain,Kraft,200#,C,RSC,,,,,341,25,1125,Each,0.377
CB,10707071,Corrugated Box,Corrugated Boxes,7,7,7,Corrugated Box 7 X 7 X 7  ,Plain,Kraft,200#,C,RSC,,,,,365,25,1125,Each,0.25
CB,10707081,Corrugated Box,Corrugated Boxes,7,7,8,Corrugated Box 7 X 7 X 8  ,Plain,Kraft,200#,C,RSC,,,,,389,25,1125,Each,0.438
CB,10707101,Corrugated Box,Corrugated Boxes,7,7,10,Corrugated Box 7 X 7 X 10  ,Plain,Kraft,200#,C,RSC,,,,,438,25,750,Each,0.38
CB,10707121,Corrugated Box,Corrugated Boxes,7,7,12,Corrugated Box 7 X 7 X 12  ,Plain,Kraft,200#,C,RSC,,,,,489,25,1000,Each,0.474
CB,10803031,Corrugated Box,Corrugated Boxes,8,3,3,Corrugated Box 8 X 3 X 3  ,Plain,Kraft,200#,C,RSC,,,,,135,25,3000,Each,0.285
CB,10804041,Corrugated Box,Corrugated Boxes,8,4,4,Corrugated Box 8 X 4 X 4  ,Plain,Kraft,200#,C,RSC,,,,,189,25,2250,Each,0.16
CB,10805041,Corrugated Box,Corrugated Boxes,8,5,4,Corrugated Box 8 X 5 X 4  ,Plain,Kraft,200#,C,RSC,,,,,226,25,1500,Each,0.2
CB,10805051,Corrugated Box,Corrugated Boxes,8,5,5,Corrugated Box 8 X 5 X 5  ,Plain,Kraft,200#,C,RSC,,,,,249,25,1500,Each,0.278
CB,10806031,Corrugated Box,Corrugated Boxes,8,6,3,Corrugated Box 8 X 6 X 3  ,Plain,Kraft,200#,C,RSC,,,,,243,25,1200,Each,0.212
CB,10806041,Corrugated Box,Corrugated Boxes,8,6,4,Corrugated Box 8 X 6 X 4  ,Plain,Kraft,200#,C,RSC,,,,,268,25,1500,Each,0.175
CB,10806051,Corrugated Box,Corrugated Boxes,8,6,5,Corrugated Box 8 X 6 X 5  ,Plain,Kraft,200#,C,RSC,,,,,292,25,1500,Each,0.209
CB,10806061,Corrugated Box,Corrugated Boxes,8,6,6,Corrugated Box 8 X 6 X 6  ,Plain,Kraft,200#,C,RSC,,,,,316,25,1500,Each,0.207
CB,10808031,Corrugated Box,Corrugated Boxes,8,8,3,Corrugated Box 8 X 8 X 3  ,Plain,Kraft,200#,C,RSC,,,,,332,25,1500,Each,0.362
CB,10808041,Corrugated Box,Corrugated Boxes,8,8,4,Corrugated Box 8 X 8 X 4  ,Plain,Kraft,200#,C,RSC,,,,,360,25,1500,Each,0.265
CB,10808051,Corrugated Box,Corrugated Boxes,8,8,5,Corrugated Box 8 X 8 X 5  ,Plain,Kraft,200#,C,RSC,,,,,388,25,1125,Each,0.389
CB,10808061,Corrugated Box,Corrugated Boxes,8,8,6,Corrugated Box 8 X 8 X 6  ,Plain,Kraft,200#,C,RSC,,,,,415,25,1125,Each,0.242
CB,10808081,Corrugated Box,Corrugated Boxes,8,8,8,Corrugated Box 8 X 8 X 8  ,Plain,Kraft,200#,C,RSC,,,,,471,25,1125,Each,0.293
CB,10808131,Corrugated Box,Corrugated Boxes,8,8,13,Corrugated Box 8 X 8 X 13-1/4  ,Plain,Kraft,200#,C,RSC,,,,,616,25,1000,Each,0.437
CB,10808171,Corrugated Box,Corrugated Boxes,8,8,17,Corrugated Box 8 X 8 X 17  ,Plain,Kraft,200#,C,RSC,,,,,464,25,500,Each,0.63
CB,10808241,Corrugated Box,Corrugated Boxes,8,8,24,Corrugated Box 8-1/2 X 8-1/2 X 24  ,Plain,Kraft,200#,C,RSC,,,,,985,20,480,Each,1.123
CB,10808101,Corrugated Box,Corrugated Boxes,8,8,10,Corrugated Box 8-3/4 X 8 X 10-1/4  ,Plain,Kraft,200#,C,RSC,,,,,558,25,750,Each,0.806
CB,10904031,Corrugated Box,Corrugated Boxes,9,4,3,Corrugated Box 9 X 4 X 3  ,Plain,Kraft,200#,C,RSC,,,,,181,25,1500,Each,0.399
CB,10904041,Corrugated Box,Corrugated Boxes,9,4,4,Corrugated Box 9 X 4 X 4  ,Plain,Kraft,200#,C,RSC,,,,,205,25,2500,Each,0.278
CB,10905031,Corrugated Box,Corrugated Boxes,9,5,3,Corrugated Box 9 X 5 X 3  ,Plain,Kraft,200#,C,RSC,,,,,219,25,1500,Each,0.278
CB,10905051,Corrugated Box,Corrugated Boxes,9,5,5,Corrugated Box 9 X 5 X 5  ,Plain,Kraft,200#,C,RSC,,,,,268,25,1500,Each,0.27
CB,10906041,Corrugated Box,Corrugated Boxes,9,6,4,Corrugated Box 9 X 6 X 4  ,Plain,Kraft,200#,C,RSC,,,,,286,25,1500,Each,0.17
CB,10906051,Corrugated Box,Corrugated Boxes,9,6,5,Corrugated Box 9 X 6 X 5,Plain,Kraft,200#,C,RSC,,,,,312,25,1000,Each,0.353
CB,10906052,Corrugated Box,Corrugated Boxes,9,6,5,Corrugated Box 9 X 6 X 5-1/2  ,Plain,Kraft,200#,C,RSC,,,,,325,25,1125,Each,0.495
CB,10906061,Corrugated Box,Corrugated Boxes,9,6,6,Corrugated Box 9 X 6 X 6  ,Plain,Kraft,200#,C,RSC,,,,,338,25,1500,Each,0.235
CB,10907041,Corrugated Box,Corrugated Boxes,9,7,4,Corrugated Box 9 X 7 X 4  ,Plain,Kraft,200#,C,RSC,,,,,332,25,1125,Each,0.309
CB,10907051,Corrugated Box,Corrugated Boxes,9,7,5,Corrugated Box 9 X 7 X 5  ,Plain,Kraft,200#,C,RSC,,,,,360,25,1125,Each,0.307
CB,10907071,Corrugated Box,Corrugated Boxes,9,7,7,Corrugated Box 9 X 7 X 7,Plain,Kraft,200#,C,RSC,,,,,415,25,750,Each,0.408
CB,10908041,Corrugated Box,Corrugated Boxes,9,8,4,Corrugated Box 9 X 8 X 4  ,Plain,Kraft,200#,C,RSC,,,,,382,25,750,Each,0.364
CB,10908061,Corrugated Box,Corrugated Boxes,9,8,6,Corrugated Box 9 X 8 X 6  ,Plain,Kraft,200#,C,RSC,,,,,441,25,1125,Each,0.402
CB,10908081,Corrugated Box,Corrugated Boxes,9,8,8,Corrugated Box 9 X 8 X 8  ,Plain,Kraft,200#,C,RSC,,,,,499,25,750,Each,0.486
CB,10909041,Corrugated Box,Corrugated Boxes,9,9,4,Corrugated Box 9 X 9 X 4  ,Plain,Kraft,200#,C,RSC,,,,,435,25,1000,Each,0.31
CB,10909051,Corrugated Box,Corrugated Boxes,9,9,5,Corrugated Box 9 X 9 X 5  ,Plain,Kraft,200#,C,RSC,,,,,466,25,750,Each,0.439
CB,10909061,Corrugated Box,Corrugated Boxes,9,9,6,Corrugated Box 9 X 9 X 6  ,Plain,Kraft,200#,C,RSC,,,,,497,25,750,Each,0.35
CB,10909071,Corrugated Box,Corrugated Boxes,9,9,7,Corrugated Box 9 X 9 X 7  ,Plain,Kraft,200#,C,RSC,,,,,528,25,750,Each,0.424
CB,10909091,Corrugated Box,Corrugated Boxes,9,9,9,Corrugated Box 9 X 9 X 9  ,Plain,Kraft,200#,C,RSC,,,,,590,25,750,Each,0.41
CB,10909251,Corrugated Box,Corrugated Boxes,9,9,25,Corrugated Box 9 X 9 X 25  ,Plain,Kraft,200#,C,RSC,,,,,1088,15,480,Each,1.117
CB,10909141,Corrugated Box,Corrugated Boxes,9,9,14,Corrugated Box 9-1/2 X 9-1/2 X 14-1/4  ,Plain,Kraft,200#,C,RSC,,,,,811,25,750,Each,0.762
CB,11003031,Corrugated Box,Corrugated Boxes,10,3,3,Corrugated Box 10 X 3 X 3  ,Plain,Kraft,200#,C,RSC,,,,,158,25,1800,Each,0.383
CB,11004041,Corrugated Box,Corrugated Boxes,10,4,4,Corrugated Box 10 X 4 X 4  ,Plain,Kraft,200#,C,RSC,,,,,219,25,1500,Each,0.294
CB,11005041,Corrugated Box,Corrugated Boxes,10,5,4,Corrugated Box 10 X 5 X 4  ,Plain,Kraft,200#,C,RSC,,,,,260,25,1500,Each,0.376
CB,11005051,Corrugated Box,Corrugated Boxes,10,5,5,Corrugated Box 10 X 5 X 5  ,Plain,Kraft,200#,C,RSC,,,,,286,25,1500,Each,0.278
CB,11006031,Corrugated Box,Corrugated Boxes,10,6,3,Corrugated Box 10 X 6 X 3  ,Plain,Kraft,200#,C,RSC,,,,,277,25,1500,Each,0.322
CB,11006041,Corrugated Box,Corrugated Boxes,10,6,4,Corrugated Box 10 X 6 X 4  ,Plain,Kraft,200#,C,RSC,,,,,304,25,1500,Each,0.251
CB,11006051,Corrugated Box,Corrugated Boxes,10,6,5,Corrugated Box 10 X 6 X 5  ,Plain,Kraft,200#,C,RSC,,,,,332,25,1500,Each,0.26
CB,11006061,Corrugated Box,Corrugated Boxes,10,6,6,Corrugated Box 10 X 6 X 6  ,Plain,Kraft,200#,C,RSC,,,,,360,25,1125,Each,0.233
CB,11007041,Corrugated Box,Corrugated Boxes,10,7,4,Corrugated Box 10 X 7 X 4  ,Plain,Kraft,200#,C,RSC,,,,,352,25,1500,Each,0.322
CB,11007051,Corrugated Box,Corrugated Boxes,10,7,5,Corrugated Box 10 X 7 X 5  ,Plain,Kraft,200#,C,RSC,,,,,382,25,1500,Each,0.397
CB,11007071,Corrugated Box,Corrugated Boxes,10,7,7,Corrugated Box 10 X 7 X 7  ,Plain,Kraft,200#,C,RSC,,,,,420,25,1125,Each,0.448
CB,11008041,Corrugated Box,Corrugated Boxes,10,8,4,Corrugated Box 10 X 8 X 4  ,Plain,Kraft,200#,C,RSC,,,,,404,25,1125,Each,0.343
CB,11008051,Corrugated Box,Corrugated Boxes,10,8,5,Corrugated Box 10 X 8 X 5  ,Plain,Kraft,200#,C,RSC,,,,,435,25,1125,Each,0.36
CB,11008061,Corrugated Box,Corrugated Boxes,10,8,6,Corrugated Box 10 X 8 X 6  ,Plain,Kraft,200#,C,RSC,,,,,465,25,1125,Each,0.28
CB,11008071,Corrugated Box,Corrugated Boxes,10,8,7,Corrugated Box 10 X 8 X 7  ,Plain,Kraft,200#,C,RSC,,,,,497,25,750,Each,0.506
CB,11008081,Corrugated Box,Corrugated Boxes,10,8,8,Corrugated Box 10 X 8 X 8  ,Plain,Kraft,200#,C,RSC,,,,,528,25,750,Each,0.33
CB,11009031,Corrugated Box,Corrugated Boxes,10,9,3,Corrugated Box 10 X 9 X 3  ,Plain,Kraft,200#,C,RSC,,,,,438,25,1000,Each,0.614
CB,11009061,Corrugated Box,Corrugated Boxes,10,9,6,Corrugated Box 10 X 9 X 6  ,Plain,Kraft,200#,C,RSC,,,,,524,25,750,Each,0.35
CB,11009081,Corrugated Box,Corrugated Boxes,10,9,8,Corrugated Box 10 X 9 X 8  ,Plain,Kraft,200#,C,RSC,,,,,589,25,750,Each,0.617
CB,11009091,Corrugated Box,Corrugated Boxes,10,9,9,Corrugated Box 10 X 9 X 9  ,Plain,Kraft,200#,C,RSC,,,,,622,25,750,Each,0.581
CB,11010021,Corrugated Box,Corrugated Boxes,10,10,2,Corrugated Box 10 X 10 X 2  ,Plain,Kraft,200#,C,RSC,,,,,456,25,750,Each,0.531
CB,11010031,Corrugated Box,Corrugated Boxes,10,10,3,Corrugated Box 10 X 10 X 3  ,Plain,Kraft,200#,C,RSC,,,,,482,25,750,Each,0.394
CB,11010041,Corrugated Box,Corrugated Boxes,10,10,4,Corrugated Box 10 X 10 X 4  ,Plain,Kraft,200#,C,RSC,,,,,516,25,750,Each,0.363
CB,11010051,Corrugated Box,Corrugated Boxes,10,10,5,Corrugated Box 10 X 10 X 5  ,Plain,Kraft,200#,C,RSC,,,,,551,25,750,Each,0.457
CB,11010061,Corrugated Box,Corrugated Boxes,10,10,6,Corrugated Box 10 X 10 X 6  ,Plain,Kraft,200#,C,RSC,,,,,585,25,750,Each,0.39
CB,11010071,Corrugated Box,Corrugated Boxes,10,10,7,Corrugated Box 10 X 10 X 7  ,Plain,Kraft,200#,C,RSC,,,,,620,25,750,Each,0.521
CB,11010081,Corrugated Box,Corrugated Boxes,10,10,8,Corrugated Box 10 X 10 X 8  ,Plain,Kraft,200#,C,RSC,,,,,654,25,750,Each,0.448
CB,11010091,Corrugated Box,Corrugated Boxes,10,10,9,Corrugated Box 10 X 10 X 9  ,Plain,Kraft,200#,C,RSC,,,,,688,25,750,Each,0.546
CB,11010101,Corrugated Box,Corrugated Boxes,10,10,10,Corrugated Box 10 X 10 X 10,Plain,Kraft,200#,C,RSC,,,,,723,25,750,Each,0.499
CB,11010121,Corrugated Box,Corrugated Boxes,10,10,12,Corrugated Box 10 X 10 X 12  ,Plain,Kraft,200#,C,RSC,,,,,841,25,500,Each,0.499
CB,11010151,Corrugated Box,Corrugated Boxes,10,10,15,Corrugated Box 10 X 10 X 15  ,Plain,Kraft,200#,C,RSC,,,,,895,25,750,Each,0.55
CB,11010052,Corrugated Box,Corrugated Boxes,10,10,5,Corrugated Box 10-1/2 X 10-1/2 X 5-1/2  ,Plain,Kraft,200#,C,RSC,,,,,614,25,750,Each,0.597
