CLASS,ITEM NUMBER,,,DESCRIPTION,SIZE (Inches),CORE (Inches),LENGTH (Feet),COLOR,QUANTITY/UOM,UNIT OF MEASURE,COST
STR,2416009,Polypropylene Strapping,Shipping Supplies,Polypropylene Strapping,1/2,16 x 6," 7,200 ",Black,1,Roll,48.68
STR,PS3830,Polypropylene Strapping,Shipping Supplies,Polypropylene Strapping,3/8,8 x 8," 12,900 ",White,2,Case,34.85
