,,,,,,,,,,PALLET DIMENSIONS,,,,,,,
ITEM CLASS,ITEM NUMBER,,,LENGTH,WIDTH,DEPTH,DESCRIPTION,COLOR,STRENGTH,LENGTH,WIDTH,DEPTH,WEIGHT/M ,BUNDLE QTY,PALLET QTY,UNIT OF MEASURE,COST
CB,30604032,Indestructo Mailer Box,RETT,06,04,03,Indestructo Mailer Box 6-1/2 X 4-7/8 X 3-3/4 ,#3 White,200#,,,,174,100,2000,Each,0.580
CB,30702021,Indestructo Mailer Box,RETT,07,02,02,Indestructo Mailer Box 7 X 2 X 2,#3 White,200#,,,,84,100,2000,Each,0.342
CB,30703021,Indestructo Mailer Box,RETT,07,03,02,Indestructo Mailer Box 7 X 3 X 2,#3 White,200#,,,,95,100,2000,Each,0.387
CB,30703031,Indestructo Mailer Box,RETT,07,03,03,Indestructo Mailer Box 7 X 3 X 3,#3 White,200#,,,,105,100,2000,Each,0.475
CB,30704021,Indestructo Mailer Box,RETT,07,04,02,Indestructo Mailer Box 7 X 4 X 2,#3 White,200#,,,,130,100,2000,Each,0.436
CB,30704031,Indestructo Mailer Box,RETT,07,04,03,Indestructo Mailer Box 7 X 4 X 3,#3 White,200#,,,,180,100,2000,Each,0.384
CB,30704041,Indestructo Mailer Box,RETT,07,04,04,Indestructo Mailer Box 7 X 4 X 4,#3 White,200#,,,,229,100,2000,Each,0.584
CB,30705031,Indestructo Mailer Box,RETT,07,05,03,Indestructo Mailer Box 7 X 5 X 3,#3 White,200#,,,,306,100,2000,Each,0.484
CB,30705032,Indestructo Mailer Box,RETT,07,05,03,Indestructo Mailer Box 7-1/8 X 5 X 3 ,#3 White,200#,,,,310,100,2000,Each,0.440
CB,30703032,Indestructo Mailer Box,RETT,07,03,03,Indestructo Mailer Box 7-1/2 X 3-1/2 X 3-1/4 ,#3 White,200#,,,,174,100,2000,Each,0.705
CB,30802021,Indestructo Mailer Box,RETT,08,02,02,Indestructo Mailer Box 8 X 2 X 2,#3 White,200#,,,,110,100,2000,Each,0.387
CB,30803021,Indestructo Mailer Box,RETT,08,03,02,Indestructo Mailer Box 8 X 3 X 2,#3 White,200#,,,,117,100,2000,Each,0.375
CB,30803031,Indestructo Mailer Box,RETT,08,03,03,Indestructo Mailer Box 8 X 3 X 3,#3 White,200#,,,,205,100,2000,Each,0.496
CB,30804021,Indestructo Mailer Box,RETT,08,04,02,Indestructo Mailer Box 8 X 4 X 2,#3 White,200#,,,,217,100,2000,Each,0.502
CB,30804031,Indestructo Mailer Box,RETT,08,04,03,Indestructo Mailer Box 8 X 4 X 3,#3 White,200#,,,,230,100,2000,Each,0.468
CB,30804041,Indestructo Mailer Box,RETT,08,04,04,Indestructo Mailer Box 8 X 4 X 4,#3 White,200#,,,,240,100,2000,Each,0.535
CB,30805031,Indestructo Mailer Box,RETT,08,05,03,Indestructo Mailer Box 8 X 5 X 3,#3 White,200#,,,,220,100,2000,Each,0.542
CB,30903021,Indestructo Mailer Box,RETT,09,03,02,Indestructo Mailer Box 9 X 3 X 2,#3 White,200#,,,,176,100,2000,Each,0.545
CB,30903031,Indestructo Mailer Box,RETT,09,03,03,Indestructo Mailer Box 9 X 3 X 3,#3 White,200#,,,,165,100,2000,Each,0.481
CB,30904021,Indestructo Mailer Box,RETT,09,04,02,Indestructo Mailer Box 9 x 4 x 2,#3 White,200#,,,,248,100,2000,Each,0.542
CB,30904031,Indestructo Mailer Box,RETT,09,04,03,Indestructo Mailer Box 9 X 4 X 3,#3 White,200#,,,,276,100,2000,Each,0.470
CB,30904041,Indestructo Mailer Box,RETT,09,04,04,Indestructo Mailer Box 9 X 4 X 4,#3 White,200#,,,,323,100,2000,Each,0.733
CB,30905031,Indestructo Mailer Box,RETT,09,05,03,Indestructo Mailer Box 9 X 5 X 3,#3 White,200#,,,,342,100,2000,Each,0.622
CB,31002021,Indestructo Mailer Box,RETT,10,02,02,Indestructo Mailer Box 10 X 2 X 2,#3 White,200#,,,,138,100,2000,Each,0.334
CB,31003021,Indestructo Mailer Box,RETT,10,03,02,Indestructo Mailer Box 10 X 3 X 2,#3 White,200#,,,,186,100,2000,Each,0.496
CB,31003031,Indestructo Mailer Box,RETT,10,03,03,Indestructo Mailer Box 10 X 3 X 3,#3 White,200#,,,,200,100,2000,Each,0.532
CB,31004041,Indestructo Mailer Box,RETT,10,04,04,Indestructo Mailer Box 10 X 4 X 4,#3 White,200#,,,,270,100,2000,Each,0.680
CB,31005031,Indestructo Mailer Box,RETT,10,05,03,Indestructo Mailer Box 10 X 5 X 3,#3 White,200#,,,,357,100,2000,Each,0.867
CB,31103031,Indestructo Mailer Box,RETT,11,03,03,Indestructo Mailer Box 11-1/2 X 3-1/2 X 3-1/2,#3 White,200#,,,,306,100,2000,Each,0.652
CB,31203031,Indestructo Mailer Box,RETT,12,03,03,Indestructo Mailer Box 12 X 3-1/2 X 3,#3 White,200#,,,,222,100,2000,Each,0.600
CB,31303031,Indestructo Mailer Box,RETT,13,03,03,Indestructo Mailer Box 13-1/2 X 3-1/2 X 3-1/2 ,#3 White,200#,,,,337,100,2000,Each,0.668
