CLASS,ITEM NUMBER,,,DESCRIPTION,OVERALL LENGTH (Inches),EFFECTIVE LENGTH (Inches),OUTSIDE DIAMETER (Inches),PADDLE,T-END,HOOK,LOOP,BUTTONEER,QUANTITY/KIT,UNIT OF MEASURE,COST
TAG,TNS,Tach-It TNS Premium Standard Tagging Needle,Shipping Supplies,Tach-It TNS Premium Standard Tagging Needle,1.3,0.51,0.075,Yes,Yes,Yes,Yes,Yes,3,Kit,7.75
TAG,08941,Avery Dennison Standard Tagging Needle,Shipping Supplies,Avery Dennison Standard Tagging Needle,1.125,0.75,0.07,Yes,Yes,Yes,Yes,Yes,4,Kit,9.88
